occupancy,ILP,intensity,reuse_ratio,ld_coalesce,L2_hit_rate,L1_hit_rate,branch_eff,pwr_avg
0.126167,8.16,3.64,0.82,0.22,100.0,23.32,99.47,55.366
0.174745,20.39,2.71,1.26,0.06,84.12,3.2,99.92,50.558
0.035556,5.42,3.99,0.47,0.12,79.49,4.98,99.59,54.982
0.04576,11.41,1.73,0.24,0.13,99.56,12.15,99.96,61.758
0.016021,7.01,2.17,0.13,0.22,99.38,18.79,99.21,46.944
0.068931,8.59,3.08,0.86,0.09,100.0,10.82,100.0,47.413
0.097217,11.8,1.22,0.01,0.1,100.0,25.02,98.76,64.08
0.081049,3.03,3.85,0.93,0.11,99.69,19.1,99.47,54.98
0.162093,17.31,0.01,0.17,0.1,79.29,20.62,100.0,46.444
0.083551,10.53,0.82,0.7,0.1,91.68,6.74,99.86,56.459
0.141432,1.2,5.95,0.42,0.07,98.99,0.8,99.88,57.031
0.086807,5.38,2.84,1.25,0.07,97.51,0.8,99.92,63.068
0.258959,4.18,2.68,0.12,0.08,87.81,24.33,99.26,54.111
0.23336,11.66,5.05,1.15,0.17,99.5,21.09,99.34,49.71
0.046718,5.6,2.28,0.67,0.06,99.2,24.72,99.79,55.486
0.493527,13.47,2.34,0.32,0.16,100.0,30.05,99.61,53.417
0.269468,14.51,2.91,0.83,0.09,96.95,17.87,100.0,61.849
0.043119,2.45,1.1,1.19,0.08,100.0,24.08,99.16,64.08
0.478674,2.11,0.34,0.01,0.15,100.0,24.91,99.56,46.808
0.133972,1.57,1.01,0.45,0.06,100.0,20.28,100.0,61.379
0.085783,7.82,0.01,0.28,0.13,98.99,29.48,99.35,48.228
0.017857,3.82,3.11,0.01,0.1,91.37,11.76,99.67,61.494
0.055472,3.59,4.15,0.82,0.15,95.41,4.99,99.84,60.179
0.218742,11.44,3.07,0.38,0.18,98.02,11.02,100.0,53.585
0.493527,2.78,2.55,7.99,0.2,91.58,6.55,100.0,60.37
0.111114,14.09,1.29,0.01,0.08,84.84,32.45,100.0,55.623
0.084157,18.73,1.01,0.89,0.09,98.42,0.94,100.0,63.488
0.084524,9.84,6.17,0.63,0.07,91.86,3.52,100.0,53.044
0.493527,6.67,0.87,0.47,0.17,81.17,3.44,99.0,59.789
0.09932,10.37,0.59,6.78,0.22,95.11,29.41,100.0,55.688
0.189845,0.63,0.01,2.17,0.08,97.03,14.73,99.09,46.444
0.111545,3.24,0.52,0.59,0.18,84.39,11.75,99.98,63.543
