occupancy,ILP,intensity,reuse_ratio,ld_coalesce,L2_hit_rate,L1_hit_rate,branch_eff,pwr_avg_category
0.207503,6.72,1.23,0.65,0.11,95.15,17.36,99.73,avg
0.237501,8.05,2.41,0.6,0.09,93.22,19.39,98.63,avg
0.245265,6.5,2.29,1.65,0.1,80.58,19.03,98.75,avg
0.130743,5.28,1.15,0.05,0.12,100.0,16.96,99.15,low
0.127744,4.24,1.58,1.31,0.13,82.23,17.28,99.61,avg
0.484247,12.2,5.28,0.72,0.06,90.92,23.11,99.16,avg
0.170604,7.21,2.1,0.01,0.09,100.0,22.3,98.65,low
0.054033,2.29,1.64,0.03,0.1,100.0,24.76,98.44,low
0.044778,1.82,0.9,0.01,0.14,100.0,17.97,99.44,low
0.167423,7.09,1.82,0.05,0.11,100.0,20.72,99.17,low
0.110163,4.56,0.95,0.05,0.15,100.0,11.75,99.74,low
0.077987,2.73,1.07,0.85,0.14,92.33,15.76,99.63,avg
0.040842,1.7,1.25,0.01,0.14,100.0,15.32,99.61,low
0.101909,4.24,1.66,0.02,0.1,100.0,21.14,99.08,low
0.309254,9.61,2.36,0.34,0.08,99.75,19.56,99.16,low
0.32088,8.95,4.6,0.65,0.07,96.79,20.49,99.61,low
0.353967,6.4,3.23,1.65,0.08,84.6,20.06,99.45,low
0.408915,6.45,3.57,2.08,0.08,80.03,18.62,98.61,high
0.041204,1.5,0.8,0.76,0.17,93.38,11.48,99.8,high
0.033213,1.28,0.48,0.54,0.2,96.28,5.12,99.99,high
0.0326,1.25,0.33,0.55,0.2,97.33,4.77,99.99,high
0.210782,8.41,1.67,0.05,0.1,97.62,20.23,98.89,avg
0.227364,7.2,1.53,0.58,0.1,95.72,18.21,99.76,avg
0.224969,7.27,1.4,0.56,0.11,96.18,17.19,99.71,avg
0.108779,4.3,1.26,0.05,0.14,99.1,19.99,99.31,low
0.292596,11.63,1.77,0.05,0.09,100.0,19.64,98.78,low
0.182942,5.99,1.56,0.46,0.1,98.24,18.44,98.76,low
0.180428,5.81,1.61,0.4,0.1,98.75,18.58,98.72,low
0.198124,7.25,1.76,0.66,0.1,93.03,19.53,98.82,avg
0.045064,1.57,0.89,0.86,0.15,92.27,12.32,99.78,high
0.075867,2.74,0.65,0.7,0.17,94.59,9.01,99.93,high
0.072275,2.69,0.44,0.55,0.17,97.15,8.76,99.93,avg
0.211535,8.04,1.83,0.63,0.11,90.83,20.91,99.1,low
0.210138,7.67,1.51,0.66,0.11,92.28,19.23,99.03,avg
0.077092,2.76,1.03,0.85,0.15,91.14,13.53,99.67,avg
0.031385,1.28,2.45,0.05,0.08,100.0,31.3,99.83,low
0.101136,5.41,0.01,0.32,0.08,100.0,36.51,100.0,low
0.081003,3.53,0.62,0.05,0.1,100.0,19.32,98.97,low
0.194142,5.61,1.14,1.39,0.12,89.17,16.5,99.36,avg
0.187408,6.31,1.82,0.93,0.11,86.62,20.64,99.23,avg
0.125156,5.14,0.98,0.05,0.12,100.0,13.67,99.11,low
0.209503,6.99,1.96,0.94,0.1,87.71,22.01,98.94,avg
0.253566,10.4,4.9,0.83,0.09,53.49,42.42,100.0,avg
0.325951,11.28,2.94,0.81,0.09,84.31,27.35,99.87,avg
0.087237,2.71,0.94,1.68,0.14,86.52,14.17,99.52,avg
0.293103,11.05,3.63,0.71,0.1,83.21,30.7,99.97,avg
0.336216,11.47,2.96,0.57,0.09,84.32,28.77,99.85,low
0.167223,6.54,1.99,0.36,0.12,91.75,17.5,99.31,avg
0.292946,10.23,3.37,0.7,0.1,78.54,28.5,99.9,low
0.134358,6.33,2.05,0.05,0.1,100.0,26.4,99.56,low
0.276969,10.38,2.71,0.4,0.09,94.15,23.52,99.05,low
0.341268,13.03,2.37,0.79,0.12,83.42,20.75,99.45,avg
0.289374,12.29,3.14,0.25,0.1,87.28,27.81,99.94,low
0.242831,7.11,1.41,1.07,0.1,92.08,16.89,99.4,avg
0.170552,6.09,0.76,0.61,0.14,95.58,12.05,99.72,avg
0.243776,6.62,1.67,0.25,0.1,94.23,23.6,99.0,low
0.054307,2.28,1.27,0.05,0.15,100.0,14.74,99.67,low
0.207257,8.4,1.58,0.05,0.1,99.99,19.42,98.85,low
0.047327,2.0,1.36,0.02,0.12,100.0,21.35,99.26,low
0.062333,2.59,1.8,0.02,0.1,100.0,23.49,98.79,low
0.077392,3.97,0.01,0.22,0.08,100.0,37.56,99.67,low
0.057864,2.15,1.62,0.63,0.12,92.79,20.82,99.57,avg
0.207908,8.46,1.61,0.05,0.11,99.66,19.29,98.92,low
0.207473,8.36,1.53,0.03,0.11,96.6,18.6,98.95,low
